"Date","Time","Temp","SpCond","DO Conc","DO Charge","DO%","Battery","Cond"
"M/D/Y","hh:mm:ss","C","mS/cm","mg/L","","%","V","mS/cm"
"05/31/10","18:20:40",25.50,0.198,9.25,42,113.1,6.3,0.200
"05/31/10","18:24:40",25.48,0.198,9.27,42,113.2,6.3,0.200
"05/31/10","18:28:40",25.53,0.198,9.20,41,112.5,6.3,0.200
"05/31/10","18:32:40",25.56,0.198,9.25,42,113.2,6.3,0.200
"05/31/10","18:36:40",25.54,0.198,9.26,42,113.2,6.3,0.200
"05/31/10","18:40:40",25.48,0.198,9.27,42,113.2,6.3,0.200
"05/31/10","18:44:40",25.49,0.198,9.27,41,113.2,6.3,0.200
"05/31/10","18:48:40",25.50,0.198,9.28,42,113.3,6.3,0.200
"05/31/10","18:52:40",25.49,0.198,9.27,41,113.2,6.3,0.200
"05/31/10","18:56:40",25.46,0.198,9.31,42,113.6,6.3,0.200
"05/31/10","19:00:40",25.46,0.198,9.34,42,114.0,6.3,0.199
"05/31/10","19:04:40",25.47,0.198,9.29,41,113.5,6.3,0.199
"05/31/10","19:08:40",25.44,0.198,9.30,42,113.6,6.3,0.199
"05/31/10","19:12:40",25.43,0.198,9.32,42,113.7,6.3,0.199
"05/31/10","19:16:40",25.42,0.198,9.33,42,113.8,6.3,0.199
"05/31/10","19:20:40",25.41,0.198,9.31,42,113.6,6.3,0.199
"05/31/10","19:24:40",25.40,0.198,9.33,42,113.8,6.3,0.199
"05/31/10","19:28:40",25.37,0.198,9.30,42,113.3,6.3,0.199
"05/31/10","19:32:40",25.37,0.198,9.27,41,113.1,6.2,0.199
"05/31/10","19:36:40",25.38,0.198,9.25,42,112.8,6.3,0.199
"05/31/10","19:40:40",25.37,0.198,9.18,41,111.9,6.2,0.199
"05/31/10","19:44:40",25.35,0.198,9.18,41,111.9,6.3,0.199
"05/31/10","19:48:40",25.36,0.198,9.03,41,110.1,6.3,0.200
"05/31/10","19:52:40",25.35,0.198,9.08,41,110.6,6.2,0.200
