Date,Time,Temp,Battery,DO Conc,DO%
M/D/Y,hh:mm:ss,C,V,mg/L,%
08/14/09,8:30,11.38,6,16.95,155.2
08/14/09,8:40,11.36,6,17.17,157.1
08/14/09,8:50,11.25,6,17,155.2
08/14/09,9:00,11.28,6,16.79,153.3
08/14/09,9:10,11.25,6,16.71,152.5
08/14/09,9:20,11.23,6,15.39,140.4
08/14/09,9:30,11.27,6,15.37,140.4
08/14/09,9:40,11.28,6,16.63,151.9
08/14/09,9:50,11.54,6,17.37,159.6
08/14/09,10:00,11.36,6,17.26,158
08/14/09,10:10,11.38,6,17.28,158.2
08/14/09,10:20,11.44,6,17.51,160.5
08/14/09,10:30,11.45,6,17.54,160.8
08/14/09,10:40,11.2,6,15.89,144.9
08/14/09,10:50,11.55,6,17.53,161.1
08/14/09,11:00,11.55,6,17.87,164.2
08/14/09,11:10,11.47,6,17.87,163.9
08/14/09,11:20,11.53,6,17.41,159.9
08/14/09,11:30,11.05,6,15.45,140.4
08/14/09,11:40,11.48,6,17.03,156.3
08/14/09,11:50,11.42,6,17.01,155.8
08/14/09,12:00,11.16,6,16.13,146.9
08/14/09,12:10,11.48,6,16.97,155.7
08/14/09,12:20,11.45,6,17.38,159.4
08/14/09,12:30,11.56,6,17.58,161.6
08/14/09,12:40,11.2,6,16.22,147.8
08/14/09,12:50,11.44,6,16.72,153.2
08/14/09,13:00,11.39,6,17.5,160.3
08/14/09,13:10,11.18,6,16.38,149.3
08/14/09,13:20,11.38,6,17.34,158.8
08/14/09,13:30,11.55,6,17.74,163
08/14/09,13:40,11.69,6,19.21,177.1
08/14/09,13:50,11.7,6,19.01,175.3
08/14/09,14:00,11.58,6,18.69,171.9
08/14/09,14:10,11.36,5.9,17.37,159
08/14/09,14:20,11.3,6,17.46,159.5
08/14/09,14:30,11.33,5.9,17.4,159.1
08/14/09,14:40,11.17,5.9,17,154.9
08/14/09,14:50,11.43,6,18.29,167.6
08/14/09,15:00,11.7,6,19.37,178.6
08/14/09,15:10,11.38,5.9,18.25,167.1
08/14/09,15:20,11.19,5.9,17.99,163.9
08/14/09,15:30,11.5,5.9,18.79,172.5
08/14/09,15:40,11.48,5.9,18.78,172.3
08/14/09,15:50,11.45,5.9,18.88,173.1
08/14/09,16:00,11.54,6,19.25,176.8
08/14/09,16:10,11.36,5.9,18.44,168.7
08/14/09,16:20,11.36,5.9,18.43,168.7
08/14/09,16:30,11.55,5.9,18.7,171.9
08/14/09,16:40,11.57,5.9,18.8,172.8
