"Date","Time","Temp","SpCond","DO Conc","DO Charge","DO%","Battery"
"M/D/Y","hh:mm:ss","C","mS/cm","mg/L","","%","V"
"06/21/10","17:24:40",17.64,0.190,9.05,48,94.9,6.7
"06/21/10","17:28:40",17.66,0.190,9.07,48,95.2,6.7
"06/21/10","17:32:40",17.73,0.189,8.86,48,93.1,6.7
"06/21/10","17:36:40",17.69,0.189,8.94,48,93.8,6.7
"06/21/10","17:40:40",17.63,0.189,8.90,47,93.3,6.7
"06/21/10","17:44:40",17.66,0.189,9.07,47,95.2,6.7
"06/21/10","17:48:40",17.66,0.189,9.12,48,95.7,6.7
"06/21/10","17:52:40",17.61,0.189,9.02,47,94.6,6.7
"06/21/10","17:56:40",17.66,0.189,8.97,48,94.1,6.6
"06/21/10","18:00:40",17.72,0.188,8.84,47,92.9,6.6
"06/21/10","18:04:40",17.73,0.188,8.84,47,92.9,6.6
"06/21/10","18:08:40",17.58,0.189,9.05,47,94.8,6.6
"06/21/10","18:12:40",17.48,0.191,9.25,48,96.7,6.6
"06/21/10","18:16:40",17.45,0.191,9.34,48,97.6,6.6
"06/21/10","18:20:40",17.49,0.191,9.22,48,96.4,6.6
"06/21/10","18:24:40",17.54,0.190,9.14,48,95.7,6.6
"06/21/10","18:28:40",17.61,0.190,9.02,48,94.6,6.6
"06/21/10","18:32:40",17.60,0.190,8.99,47,94.2,6.6
"06/21/10","18:36:40",17.63,0.190,8.82,47,92.5,6.6
"06/21/10","18:40:40",17.75,0.189,8.80,47,92.6,6.6
"06/21/10","18:44:40",17.90,0.188,8.42,47,88.8,6.6
"06/21/10","18:48:40",17.97,0.187,8.36,47,88.3,6.6
"06/21/10","18:52:40",17.86,0.187,8.37,47,88.2,6.6
"06/21/10","18:56:40",17.61,0.190,8.73,48,91.5,6.6
"06/21/10","19:00:40",17.56,0.190,8.86,47,92.8,6.6
"06/21/10","19:04:40",17.57,0.190,8.87,47,92.9,6.6
"06/21/10","19:08:40",17.43,0.191,9.13,47,95.4,6.6
"06/21/10","19:12:40",17.51,0.191,9.05,47,94.7,6.6
"06/21/10","19:16:40",17.69,0.189,8.77,47,92.1,6.6
"06/21/10","19:20:40",17.73,0.189,8.78,47,92.3,6.6
"06/21/10","19:24:40",17.61,0.190,8.91,47,93.4,6.6
"06/21/10","19:28:40",17.76,0.189,8.80,47,92.5,6.6
"06/21/10","19:32:40",17.91,0.188,8.50,47,89.7,6.6
"06/21/10","19:36:40",18.04,0.187,8.19,47,86.6,6.6
"06/21/10","19:40:40",17.78,0.188,8.56,47,90.1,6.6
"06/21/10","19:44:40",18.13,0.186,8.38,47,88.8,6.6
"06/21/10","19:48:40",18.22,0.185,8.23,47,87.4,6.6
"06/21/10","19:52:40",18.29,0.184,8.24,47,87.6,6.6
"06/21/10","19:56:40",18.31,0.184,8.14,47,86.5,6.6
"06/21/10","20:00:40",18.05,0.184,8.23,47,87.1,6.6
"06/21/10","20:04:40",17.41,0.189,8.77,47,91.5,6.6
"06/21/10","20:08:40",17.26,0.192,9.22,47,96.0,6.6
"06/21/10","20:12:40",17.22,0.195,9.61,48,99.9,6.6
"06/21/10","20:16:40",17.15,0.195,9.49,48,98.5,6.6
"06/21/10","20:20:40",17.25,0.194,9.47,48,98.6,6.6
"06/21/10","20:24:40",17.21,0.195,9.48,48,98.5,6.6
"06/21/10","20:28:40",17.64,0.191,8.44,47,88.5,6.6
"06/21/10","20:32:40",17.80,0.189,7.84,47,82.5,6.6
"06/21/10","20:36:40",17.43,0.191,8.12,46,84.8,6.6
"06/21/10","20:40:40",17.54,0.192,8.70,47,91.1,6.6
"06/21/10","20:44:40",17.55,0.192,8.92,47,93.4,6.6
"06/21/10","20:48:40",17.57,0.191,8.71,47,91.2,6.6
"06/21/10","20:52:40",17.71,0.190,8.49,47,89.2,6.6
"06/21/10","20:56:40",17.93,0.187,8.42,47,88.9,6.6
"06/21/10","21:00:40",17.96,0.187,8.41,47,88.8,6.6
