Year,Day of Year,Time,Wind Speed (mph),Solar Radiation (W/m2)
2012,99,1000,2.10734656,599.2
2012,99,1100,4.13512,717
2012,99,1200,5.1051968,788
2012,99,1300,5.1320192,683.2
2012,99,1400,5.3465984,188.5
2012,99,1500,4.7207424,742
2012,99,1600,2.20077792,460.7
2012,99,1700,1.307592,225.2
2012,99,1800,0.30801056,85.5
2012,99,1900,0.28118816,18.39
2012,99,2000,0.28118816,0.164
2012,99,2100,0.28118816,0
2012,99,2200,0.28118816,0.821
2012,99,2300,0.28118816,0
2012,99,2400,0.28118816,1.807
2012,100,100,0.28118816,0
2012,100,200,0.28118816,0.821
2012,100,300,0.28118816,0
2012,100,400,0.28118816,0
2012,100,500,0.28118816,0.164
2012,100,600,0.28118816,0
2012,100,700,1.97412864,24.48
2012,100,800,3.5047936,166.2
2012,100,900,3.106928,363.7
2012,100,1000,4.0144192,170
2012,100,1100,5.588,269.2
2012,100,1200,3.2142176,292.9
2012,100,1300,2.08052416,113.5
2012,100,1400,4.13512,170
2012,100,1500,1.86728608,253.1
2012,100,1600,3.1337504,209.3
2012,100,1700,2.30717344,121.4
2012,100,1800,4.4659296,81.1
2012,100,1900,1.97412864,19.22
2012,100,2000,4.8414432,0
2012,100,2100,1.88069728,0
2012,100,2200,1.58743904,0
2012,100,2300,2.60043168,0
2012,100,2400,1.3210032,0
2012,101,100,0.89452704,0
2012,101,200,1.04115616,0
2012,101,300,0.28118816,0
2012,101,400,2.66704064,0
2012,101,500,3.7730176,0
2012,101,600,2.86686752,0
2012,101,700,2.28035104,38.13
2012,101,800,3.1471616,126
2012,101,900,0.28118816,130.2
2012,101,1000,1.52083008,295.5
2012,101,1100,0.88111584,179.3
2012,101,1200,3.442208,405.4
2012,101,1300,4.6402752,586.3
2012,101,1400,5.520944,295.6
2012,101,1500,2.66704064,962
2012,101,1600,4.4391072,177.6
2012,101,1700,2.13416896,508.9
2012,101,1800,1.48059648,102
2012,101,1900,2.22715328,22.5
2012,101,2000,1.6406368,0
2012,101,2100,2.3737824,0
2012,101,2200,1.89410848,0
2012,101,2300,1.57402784,0
2012,101,2400,2.22715328,0
2012,102,100,1.2807696,0
2012,102,200,1.08094272,0
2012,102,300,1.37420096,0
2012,102,400,1.2941808,0
2012,102,500,0.82747104,0
2012,102,600,1.05412032,0.986
2012,102,700,2.3871936,28.76
2012,102,800,0.28118816,52.26
2012,102,900,1.60085024,72.3
2012,102,1000,0.98751136,103.3
2012,102,1100,1.21416064,185.2
2012,102,1200,0.28118816,355.5
2012,102,1300,1.08094272,975
2012,102,1400,0.62764416,870
2012,102,1500,2.21374208,703
2012,102,1600,1.81408832,600.6
2012,102,1700,0.28118816,433.8
2012,102,1800,1.3210032,44.16
2012,102,1900,1.84091072,22.25
2012,102,2000,0.28118816,0
2012,102,2100,0.28118816,0
2012,102,2200,0.28118816,0
2012,102,2300,0.28118816,0.329
2012,102,2400,0.28118816,0.822
2012,103,100,0.28118816,0.657
2012,103,200,0.28118816,0.822
2012,103,300,0.28118816,0
2012,103,400,0.28118816,0
2012,103,500,0.28118816,0.164
2012,103,600,0.28118816,0
2012,103,700,0.28118816,23.01
2012,103,800,0.28118816,178
2012,103,900,0.28118816,353.4
2012,103,1000,0.28118816,608.5
2012,103,1100,0.38803072,697.9
2012,103,1200,1.74747936,818
2012,103,1300,2.62725408,830
2012,103,1400,1.20074944,797
2012,103,1500,1.98753984,696.3
2012,103,1600,0.29459936,593.2
2012,103,1700,1.50741888,439.3
2012,103,1800,0.28118816,45.13
2012,103,1900,0.28118816,22.65
2012,103,2000,0.28118816,0
2012,103,2100,0.28118816,0
2012,103,2200,0.28118816,0
2012,103,2300,0.28118816,0
2012,103,2400,0.28118816,0
2012,104,100,0.28118816,0
2012,104,200,2.62725408,0
2012,104,300,0.28118816,0
2012,104,400,1.96071744,0
2012,104,500,1.6942816,0
2012,104,600,0.547624,0.821
2012,104,700,0.28118816,42.55
2012,104,800,0.66787776,210.7
2012,104,900,0.45463968,343.9
2012,104,1000,3.3349184,315.2
2012,104,1100,4.5061632,619
2012,104,1200,0.88111584,587.7
2012,104,1300,4.8548544,767
2012,104,1400,3.732784,450.1
2012,104,1500,1.3344144,199.2
2012,104,1600,3.5047936,217.4
2012,104,1700,0.70766432,85.8
2012,104,1800,4.6134528,48.25
2012,104,1900,3.2142176,21.33
2012,104,2000,2.98712128,0
2012,104,2100,5.1722528,0
2012,104,2200,2.52041152,0
2012,104,2300,2.54723392,0
2012,104,2400,3.9205408,0
2012,105,100,3.442208,0
2012,105,200,3.7730176,0
2012,105,300,2.66704064,0.328
2012,105,400,2.93392352,0
2012,105,500,2.69386304,0
2012,105,600,2.70727424,0.328
2012,105,700,1.77385472,48.6
2012,105,800,4.828032,263.8
2012,105,900,0.97410016,181.5
2012,105,1000,2.34740704,599.6
2012,105,1100,3.6120832,722
2012,105,1200,5.5611776,822
2012,105,1300,3.6925504,293
2012,105,1400,6.3882016,849
2012,105,1500,6.3077344,699.7
2012,105,1600,5.0381408,591.3
2012,105,1700,4.5732192,426.8
2012,105,1800,1.17437408,63.97
2012,105,1900,2.82708096,32.8
2012,105,2000,0.28118816,0
2012,105,2100,0.28118816,0.164
2012,105,2200,0.28118816,0.082
2012,105,2300,0.28118816,0
2012,105,2400,0.28118816,0
2012,106,100,0.28118816,0
2012,106,200,0.28118816,0.246
2012,106,300,0.44122848,0
2012,106,400,1.45422112,0
2012,106,500,0.28118816,0
2012,106,600,0.28118816,0
2012,106,700,0.28118816,16.75
2012,106,800,1.14755168,102.3
2012,106,900,2.16054432,187.2
2012,106,1000,0.28118816,86.8
2012,106,1100,0.28118816,132
2012,106,1200,0.29459936,111.3
2012,106,1300,0.46760384,110.6
2012,106,1400,0.28118816,92
2012,106,1500,0.82747104,64.01
2012,106,1600,1.92048384,73.5
2012,106,1700,1.97412864,75.5
2012,106,1800,0.28118816,34.46
