Year,Day of Year,Time,Wind Speed (mph),Solar Radiation (W/m2)
2012,131,1500,0.987,749
2012,131,1600,5.101,641
2012,131,1700,0.629,500.9
2012,131,1800,1.374,57.08
2012,131,1900,3.491,140.6
2012,131,2000,0.629,5.823
2012,131,2100,0.629,0
2012,131,2200,0.629,0
2012,131,2300,0.629,0.164
2012,131,2400,0.629,0
2012,132,100,0.629,0.164
2012,132,200,1.404,0
2012,132,300,0.629,0
2012,132,400,0.629,0
2012,132,500,0.629,0
2012,132,600,0.629,16.25
2012,132,700,0.629,93.5
2012,132,800,3.939,72.2
2012,132,900,5.28,432.2
2012,132,1000,6.175,202.3
2012,132,1100,5.519,685.8
2012,132,1200,5.728,698.1
2012,132,1300,4.863,890
2012,132,1400,5.579,812
2012,132,1500,6.712,306.4
2012,132,1600,1.702,102.5
2012,132,1700,8.17,53.31
2012,132,1800,2.597,26.25
2012,132,1900,5.519,7.22
2012,132,2000,4.982,0.164
2012,132,2100,0.629,0.657
2012,132,2200,0.629,0.492
2012,132,2300,0.629,0.657
2012,132,2400,3.611,0
2012,133,100,0.629,0.328
2012,133,200,0.629,0.821
2012,133,300,0.629,2.298
2012,133,400,0.629,0.821
2012,133,500,0.629,1.806
2012,133,600,0.629,24.55
2012,133,700,0.629,75.4
2012,133,800,0.629,170.4
2012,133,900,0.629,433.4
2012,133,1000,4.833,296.8
2012,133,1100,2.209,607.5
2012,133,1200,0.778,917
2012,133,1300,0.629,935
2012,133,1400,4.923,866
2012,133,1500,1.255,788
2012,133,1600,0.629,674.4
2012,133,1700,0.629,537.5
2012,133,1800,1.971,54.64
2012,133,1900,0.629,158.3
2012,133,2000,0.629,7.71
2012,133,2100,0.629,0
2012,133,2200,0.629,0.164
2012,133,2300,0.629,0
2012,133,2400,0.629,0
2012,134,100,0.629,0
2012,134,200,0.629,0
2012,134,300,0.629,0
2012,134,400,0.629,0.657
2012,134,500,0.629,0
2012,134,600,0.629,16.91
2012,134,700,0.629,40.23
2012,134,800,0.629,65.85
2012,134,900,7.13,552.8
2012,134,1000,2.597,705
2012,134,1100,5.936,693.5
2012,134,1200,3.283,863
2012,134,1300,6.264,869
2012,134,1400,1.613,467.8
2012,134,1500,9.37,786
2012,134,1600,7.61,635.1
2012,134,1700,7.1,363.8
2012,134,1800,6.145,141.9
2012,134,1900,1.941,96
2012,134,2000,0.629,11.48
2012,134,2100,0.629,0
2012,134,2200,0.629,0
2012,134,2300,1.345,0
2012,134,2400,4.088,0
2012,135,100,3.581,0
2012,135,200,0.629,0
2012,135,300,0.629,0
2012,135,400,4.267,0
2012,135,500,2.835,0
2012,135,600,0.629,16.42
2012,135,700,0.629,34.8
2012,135,800,7.31,64.68
2012,135,900,4.088,540.4
2012,135,1000,0.629,665.2
2012,135,1100,1.225,802
2012,135,1200,0.629,871
2012,135,1300,10.11,906
2012,135,1400,11.42,483.2
2012,135,1500,4.684,176.7
2012,135,1600,4.923,658.3
2012,135,1700,2.507,80.7
2012,135,1800,0.629,90.2
2012,135,1900,0.629,164.3
2012,135,2000,0.629,4.592
2012,135,2100,0.629,0.492
2012,135,2200,2.507,1.394
2012,135,2300,0.629,3.282
2012,135,2400,0.629,4.267
2012,136,100,0.629,1.805
2012,136,200,2.806,1.805
2012,136,300,0.629,0
2012,136,400,0.629,0
2012,136,500,0.629,0
2012,136,600,0.629,22.98
2012,136,700,5.907,61.4
2012,136,800,4.356,90.3
2012,136,900,5.728,494.4
2012,136,1000,12.47,651.7
2012,136,1100,4.624,796
2012,136,1200,6.503,866
2012,136,1300,7.1,1020
2012,136,1400,5.37,920
2012,136,1500,9.45,821
2012,136,1600,8.68,331.5
2012,136,1700,6.563,212.6
2012,136,1800,8.86,110.5
2012,136,1900,4.386,51.53
2012,136,2000,0.629,10.5
2012,136,2100,0.629,0
2012,136,2200,0.629,0
2012,136,2300,0.629,0.246
2012,136,2400,0.629,0
2012,137,100,0.629,0
2012,137,200,0.629,0
2012,137,300,0.629,0
2012,137,400,0.629,0
2012,137,500,0.629,0
2012,137,600,0.629,19.3
2012,137,700,0.629,42.38
2012,137,800,0.629,92.9
2012,137,900,0.718,423.5
2012,137,1000,2.627,713
2012,137,1100,5.161,835
2012,137,1200,0.659,934
2012,137,1300,0.927,932
2012,137,1400,0.629,891
2012,137,1500,4.118,781
2012,137,1600,1.762,667.8
2012,137,1700,1.702,532.5
2012,137,1800,0.629,118.5
2012,137,1900,1.166,162.2
2012,137,2000,0.629,7.55
2012,137,2100,0.629,0
2012,137,2200,0.629,0
2012,137,2300,0.629,0.164
2012,137,2400,0.629,1.149
2012,138,100,0.629,1.478
2012,138,200,2.15,0
2012,138,300,0.629,0
2012,138,400,1.255,0
2012,138,500,0.987,0
2012,138,600,0.629,30.71
2012,138,700,0.629,73.7
2012,138,800,2.269,208.6
2012,138,900,5.638,546.8
2012,138,1000,8.05,414.2
2012,138,1100,6.563,748
2012,138,1200,6.592,481.9
2012,138,1300,2.806,46.27
2012,138,1400,3.968,824
2012,138,1500,7.93,215.8
2012,138,1600,6.235,29.7
2012,138,1700,8.83,31.34
2012,138,1800,4.863,67.28
2012,138,1900,4.177,58.42
2012,138,2000,5.996,12.14
2012,138,2100,4.237,0
2012,138,2200,4.505,0
2012,138,2300,2.12,0.656
2012,138,2400,0.629,1.641
2012,139,100,0.629,0
2012,139,200,1.911,2.954
2012,139,300,0.629,4.596
2012,139,400,5.37,1.313
2012,139,500,5.042,0
2012,139,600,7.22,14.77
2012,139,700,4.088,66.31
2012,139,800,2.388,93.4
2012,139,900,3.074,497.6
2012,139,1000,6.712,627.8
2012,139,1100,1.464,759
2012,139,1200,4.654,839
2012,139,1300,7.73,826
2012,139,1400,3.76,670.6
2012,139,1500,9.01,690.7
2012,139,1600,3.551,602
2012,139,1700,7.7,485.8
2012,139,1800,3.491,264.6
2012,139,1900,3.67,154.4
2012,139,2000,0.629,8.77
2012,139,2100,0.629,0
2012,139,2200,0.629,0
2012,139,2300,0.629,0
2012,139,2400,0.629,0
2012,140,100,0.629,0
2012,140,200,0.629,0
2012,140,300,0.629,0
2012,140,400,0.629,0
2012,140,500,4.028,0
2012,140,600,3.074,26.75
2012,140,700,2.001,42.01
2012,140,800,4.088,66.05
2012,140,900,5.042,529.9
2012,140,1000,2.657,654.5
2012,140,1100,4.923,781
2012,140,1200,4.028,839
2012,140,1300,2.507,845
2012,140,1400,5.668,819
2012,140,1500,9.16,726
2012,140,1600,8.05,616.9
2012,140,1700,3.223,464.1
2012,140,1800,8.23,156.7
2012,140,1900,2.806,110.5
2012,140,2000,4.147,13.77
2012,140,2100,4.177,0
2012,140,2200,4.058,0.328
2012,140,2300,2.955,0
2012,140,2400,3.79,0
2012,141,100,0.629,0
2012,141,200,2.329,0
2012,141,300,4.118,0
2012,141,400,2.001,0
2012,141,500,0.629,0
2012,141,600,0.629,20.18
2012,141,700,0.629,59.89
2012,141,800,0.629,178.7
2012,141,900,6.145,555.8
2012,141,1000,5.101,276.2
2012,141,1100,3.67,353.9
2012,141,1200,6.443,156.5
2012,141,1300,6.324,687.6
2012,141,1400,6.145,38.38
2012,141,1500,4.326,170.6
2012,141,1600,4.774,46.43
2012,141,1700,4.446,27.81
2012,141,1800,4.296,42.67
2012,141,1900,6.205,24.29
2012,141,2000,5.072,1.149
2012,141,2100,2.03,0
2012,141,2200,5.549,0.164
2012,141,2300,3.998,0
2012,141,2400,5.34,0
2012,142,100,0.629,0
2012,142,200,0.629,0
2012,142,300,0.629,0
2012,142,400,0.629,0
2012,142,500,0.629,0.657
2012,142,600,3.223,18.56
2012,142,700,0.868,33.83
2012,142,800,3.342,53.13
2012,142,900,3.73,559.7
2012,142,1000,5.161,711
2012,142,1100,9.34,856
2012,142,1200,4.058,931
2012,142,1300,2.835,921
2012,142,1400,2.955,878
2012,142,1500,2.746,779
2012,142,1600,4.863,677.3
2012,142,1700,0.659,532.9
2012,142,1800,0.629,256.1
2012,142,1900,0.629,197.1
2012,142,2000,0.629,11.81
2012,142,2100,0.629,0
2012,142,2200,0.629,0
2012,142,2300,0.629,0.657
2012,142,2400,0.629,0.164
2012,143,100,0.629,0
2012,143,200,0.629,0
2012,143,300,0.629,0
2012,143,400,0.629,0.328
2012,143,500,0.629,0.657
2012,143,600,0.629,21.51
2012,143,700,0.629,56.33
2012,143,800,0.629,150.4
2012,143,900,0.957,289
2012,143,1000,1.643,751
2012,143,1100,0.629,746
2012,143,1200,4.267,390.4
2012,143,1300,0.629,416.6
2012,143,1400,0.629,295.5
2012,143,1500,3.939,517.6
2012,143,1600,1.315,312.5
2012,143,1700,0.629,151.4
2012,143,1800,0.957,179
2012,143,1900,0.629,75.6
2012,143,2000,2.06,18.54
2012,143,2100,1.673,0
2012,143,2200,6.026,0
2012,143,2300,6.92,0
2012,143,2400,4.863,0
2012,144,100,1.553,0
2012,144,200,1.404,0
2012,144,300,2.597,0
2012,144,400,5.877,0.492
2012,144,500,5.638,0.164
2012,144,600,6.563,37.1
2012,144,700,3.64,87.7
2012,144,800,0.659,177
2012,144,900,3.968,236.2
2012,144,1000,4.058,681.2
2012,144,1100,2.179,361
2012,144,1200,2.597,550.9
2012,144,1300,13.99,352.2
2012,144,1400,0.629,289
2012,144,1500,7.19,236.8
2012,144,1600,8.83,354.1
2012,144,1700,0.718,556
2012,144,1800,2.955,386.1
2012,144,1900,4.863,93
2012,144,2000,8.29,8.61
2012,144,2100,9.19,0
2012,144,2200,8.95,0
2012,144,2300,8.8,0
2012,144,2400,8.02,0
2012,145,100,4.446,0
2012,145,200,0.629,1.641
2012,145,300,0.629,0.164
2012,145,400,1.166,0
2012,145,500,0.629,2.298
2012,145,600,0.629,10.42
2012,145,700,0.629,88.6
2012,145,800,0.629,119.8
