Year,Day of Year,Time,Wind Speed (mph),Solar Radiation (W/m2)
2012,101,1600,9.93,177.6
2012,101,1700,4.774,508.9
2012,101,1800,3.312,102
2012,101,1900,4.982,22.5
2012,101,2000,3.67,0
2012,101,2100,5.31,0
2012,101,2200,4.237,0
2012,101,2300,3.521,0
2012,101,2400,4.982,0
2012,102,100,2.865,0
2012,102,200,2.418,0
2012,102,300,3.074,0
2012,102,400,2.895,0
2012,102,500,1.851,0
2012,102,600,2.358,0.986
2012,102,700,5.34,28.76
2012,102,800,0.629,52.26
2012,102,900,3.581,72.3
2012,102,1000,2.209,103.3
2012,102,1100,2.716,185.2
2012,102,1200,0.629,355.5
2012,102,1300,2.418,975
2012,102,1400,1.404,870
2012,102,1500,4.952,703
2012,102,1600,4.058,600.6
2012,102,1700,0.629,433.8
2012,102,1800,2.955,44.16
2012,102,1900,4.118,22.25
2012,102,2000,0.629,0
2012,102,2100,0.629,0
2012,102,2200,0.629,0
2012,102,2300,0.629,0.329
2012,102,2400,0.629,0.822
2012,103,100,0.629,0.657
2012,103,200,0.629,0.822
2012,103,300,0.629,0
2012,103,400,0.629,0
2012,103,500,0.629,0.164
2012,103,600,0.629,0
2012,103,700,0.629,23.01
2012,103,800,0.629,178
2012,103,900,0.629,353.4
2012,103,1000,0.629,608.5
2012,103,1100,0.868,697.9
2012,103,1200,3.909,818
2012,103,1300,5.877,830
2012,103,1400,2.686,797
2012,103,1500,4.446,696.3
2012,103,1600,0.659,593.2
2012,103,1700,3.372,439.3
2012,103,1800,0.629,45.13
2012,103,1900,0.629,22.65
2012,103,2000,0.629,0
2012,103,2100,0.629,0
2012,103,2200,0.629,0
2012,103,2300,0.629,0
2012,103,2400,0.629,0
2012,104,100,0.629,0
2012,104,200,5.877,0
2012,104,300,0.629,0
2012,104,400,4.386,0
2012,104,500,3.79,0
2012,104,600,1.225,0.821
2012,104,700,0.629,42.55
2012,104,800,1.494,210.7
2012,104,900,1.017,343.9
2012,104,1000,7.46,315.2
2012,104,1100,10.08,619
2012,104,1200,1.971,587.7
2012,104,1300,10.86,767
