SampleID,Year,Lake,Habitat,Site,Depth,Week,Date,Type,Taxon,Trophic,Length,Weight,Tissue,GutID,FishID,d15N,d13C,dD,AnalyzedForBatt2012,Notes
F-0976,2010,Ward,All,B,NA,1,26-May-10,Fish,CMM,2,63,2.6,Whole,G-0699,NA,3.78,-26.45,-154.5,No,
F-0977,2010,Ward,All,B,NA,1,26-May-10,Fish,CMM,2,73,3,Whole,G-0700,NA,6.12,-29.69,-146.7,No,
F-0978,2010,Ward,All,B,NA,1,26-May-10,Fish,FHM,2,72,5.2,Whole,G-0701,NA,3.86,-31.94,-193.1,No,
F-0979,2010,Ward,All,B,NA,1,27-May-10,Fish,FHM,2,NA,NA,Whole,NA,NA,4.8,-31.66,-176.7,Yes,
F-0981,2010,Ward,All,B,NA,1,26-May-10,Fish,DAC,2,66,3.8,Whole,G-0704,NA,3.59,-31.05,-199.2,No,
F-0991,2010,Ward,All,C,NA,1,27-May-10,Fish,FHM,2,NA,NA,Whole,NA,NA,5,-33.37,-187.9,Yes,
F-0992,2010,Ward,All,C,NA,1,26-May-10,Fish,FHM,2,71,5.1,Whole,G-0715,NA,4.02,-30.96,-195.9,No,
F-0994,2010,Ward,All,E,NA,1,27-May-10,Fish,FHM,2,NA,NA,Whole,NA,NA,4.39,-28.63,-186.1,Yes,
F-0996,2010,Ward,All,E,NA,1,26-May-10,Fish,FHM,2,75,6.3,Whole,G-0719,NA,4.08,-32.92,-193.3,No,
F-0999,2010,Ward,All,A,NA,1,26-May-10,Fish,FHM,2,75,5.9,Whole,G-0722,NA,5.18,-33.25,-191.9,No,
F-1003,2010,Ward,All,A,NA,1,26-May-10,Fish,DAC,2,56,2.1,Whole,G-0726,NA,5.12,-27.46,-182.9,No,
F-1009,2010,Ward,All,D,NA,1,26-May-10,Fish,DAC,2,60,2.6,Whole,G-0732,NA,3.82,-32.89,-184.9,No,
F-1011,2010,Ward,All,D,NA,1,26-May-10,Fish,FHM,2,75,5.6,Whole,G-0734,NA,4.24,-32.94,-196.7,No,
F-1012,2010,Ward,All,D,NA,1,26-May-10,Fish,FHM,2,76,5.5,Whole,G-0735,NA,4.09,-32.26,-192.4,No,
F-1013,2010,Ward,All,D,NA,1,26-May-10,Fish,DAC,2,82,6.5,Whole,G-0736,NA,3.98,-25.22,-167.6,No,
F-1016,2010,Ward,All,D,NA,1,26-May-10,Fish,DAC,2,55,2,Whole,G-0739,NA,4.99,-27.73,-175.3,No
F-1018,2010,Ward,All,D,NA,1,26-May-10,Fish,DAC,2,54,1.8,Whole,G-0741,NA,5.47,-28.4,-171.6,No
F-1022,2010,Ward,All,A,NA,2,24-Jun-10,Fish,YWP,3,NA,NA,Whole,NA,NA,5.94,-31.4,-175.7,Yes
F-1023,2010,Ward,All,A,NA,2,24-Jun-10,Fish,PKS,2,NA,NA,Whole,NA,NA,5.87,-31.75,-159.1,Yes
F-1025,2010,Ward,All,B,NA,2,24-Jun-10,Fish,DAC,2,66,2.849,Whole,G-0748,NA,3.58,-25.55,-168.8,No
F-1026,2010,Ward,All,B,NA,2,24-Jun-10,Fish,DAC,2,67,2.776,Whole,G-0749,NA,3.42,-24.52,-177,No
F-1027,2010,Ward,All,B,NA,2,24-Jun-10,Fish,FHM,2,NA,NA,Whole,NA,NA,3.1,-31.51,-191.4,Yes
F-1029,2010,Ward,All,C,NA,2,24-Jun-10,Fish,PKS,2,NA,NA,Whole,NA,NA,6.04,-30.61,-164.3,Yes
F-1030,2010,Ward,All,C,NA,2,24-Jun-10,Fish,PKS,2,NA,NA,Whole,NA,NA,7.26,-30.94,-150.2,Yes
F-1032,2010,Ward,All,D,NA,2,24-Jun-10,Fish,FHM,2,NA,NA,Whole,NA,NA,3.88,-30.75,-189.6,Yes
F-1034,2010,Ward,All,D,NA,2,24-Jun-10,Fish,DAC,2,56,1.584,Whole,G-0783,NA,5.28,-28.97,-181.7,No
F-1035,2010,Ward,All,E,NA,2,24-Jun-10,Fish,DAC,2,61,3.802,Whole,G-0758,NA,3.73,-31.87,-190.7,No
F-1036,2010,Ward,All,E,NA,2,24-Jun-10,Fish,DAC,2,66,2.597,Whole,G-0759,NA,4.32,-30.51,-192.2,No
F-1037,2010,Ward,All,E,NA,2,24-Jun-10,Fish,DAC,2,58,1.975,Whole,G-0760,NA,4.6,-28.31,-188.1,No
F-1038,2010,Ward,All,E,NA,2,24-Jun-10,Fish,FHM,2,NA,NA,Whole,NA,NA,3.86,-29.48,-171.1,Yes
F-1040,2010,Ward,All,X,NA,2,24-Jun-10,Fish,YWP,3,NA,NA,Whole,NA,NA,5.74,-29.85,-177.1,Yes
F-1041,2010,Ward,All,X,NA,2,24-Jun-10,Fish,YWP,3,NA,NA,Whole,NA,NA,6.19,-28.77,-147,Yes
F-1042,2010,Ward,All,A,NA,3,21-Jul-10,Fish,CMM,2,59,2.196,Whole,G-0745,NA,6.16,-35.15,-151.8,No
F-1043,2010,Ward,All,A,NA,3,21-Jul-10,Fish,CMM,2,77,5.148,Whole,G-0746,NA,6.12,-29.88,-142.7,No
F-1044,2010,Ward,All,A,NA,3,21-Jul-10,Fish,CMM,2,69,4.218,Whole,G-0767,NA,6.2,-29.68,-158.9,No
F-1045,2010,Ward,All,E,NA,3,21-Jul-10,Fish,CMM,2,59,2.3,Whole,G-0802,NA,6.47,-33.69,-167.2,No
F-1046,2010,Ward,All,E,NA,3,21-Jul-10,Fish,CMM,2,64,3.1,Whole,G-0803,NA,6.52,-30.78,-143.1,No
F-1054,2010,Ward,All,X,NA,3,21-Jul-10,Fish,BHD2,3,180,70.85,Whole,G-0777,NA,6.39,-31.29,-169.8,No
