Lake,Year,Date,DoY,Depth,Temp,DO
Ward,2012,2012-06-07,159,1,20,7.95
Ward,2012,2012-06-07,159,1.5,16.7,3.93
Ward,2012,2012-06-07,159,2,13,0.42
Ward,2012,2012-06-07,159,2.5,10.1,0.30
Ward,2012,2012-06-07,159,3,8,0.25
Ward,2012,2012-06-07,159,3.5,7.2,0.23
Ward,2012,2012-06-07,159,4,6.5,0.21
Ward,2012,2012-06-07,159,4.5,6.1,0.20
Ward,2012,2012-06-07,159,5,5.9,0.19
Ward,2012,2012-06-07,159,5.5,5.7,0.18
Ward,2012,2012-06-07,159,6,5.6,0.17
Ward,2012,2012-06-14,166,0,20.4,7.48
Ward,2012,2012-06-14,166,0.5,20.4,7.49
Ward,2012,2012-06-14,166,1,20.3,6.60
Ward,2012,2012-06-14,166,1.5,18.1,1.44
Ward,2012,2012-06-14,166,2,14,0.38
Ward,2012,2012-06-14,166,2.5,10.9,0.31
Ward,2012,2012-06-14,166,3,8.6,0.27
Ward,2012,2012-06-14,166,3.5,7.4,0.23
Ward,2012,2012-06-14,166,4,6.7,0.22
Ward,2012,2012-06-14,166,4.5,6.3,0.21
Ward,2012,2012-06-21,173,0,22.2,6.78
Ward,2012,2012-06-21,173,0.5,22.2,6.72
Ward,2012,2012-06-21,173,1,21.5,5.10
Ward,2012,2012-06-21,173,1.5,18.6,2.25
Ward,2012,2012-06-21,173,2,15,0.34
Ward,2012,2012-06-21,173,2.5,11.3,0.24
Ward,2012,2012-06-21,173,3,8.9,0.21
Ward,2012,2012-06-21,173,3.5,7.6,0.19
Ward,2012,2012-06-21,173,4,6.8,0.18
Ward,2012,2012-06-21,173,4.5,6.1,0.16
Ward,2012,2012-06-21,173,5,5.9,0.15
Ward,2012,2012-06-21,173,5.5,5.7,0.15
Ward,2012,2012-06-21,173,6,5.6,0.15
Ward,2012,2012-06-28,180,0,25.2,7.33
Ward,2012,2012-06-28,180,0.5,25.2,6.90
Ward,2012,2012-06-28,180,1,22.3,5.88
Ward,2012,2012-06-28,180,1.5,18.8,0.63
Ward,2012,2012-06-28,180,2,15.3,0.41
Ward,2012,2012-06-28,180,2.5,12.1,0.29
Ward,2012,2012-06-28,180,3,9.7,0.27
Ward,2012,2012-06-28,180,3.5,8,0.24
Ward,2012,2012-06-28,180,4,7,0.22
Ward,2012,2012-06-28,180,4.5,6.5,0.21
Ward,2012,2012-06-28,180,5,6.1,0.20
Ward,2012,2012-06-28,180,5.5,5.9,0.20
Ward,2012,2012-06-28,180,6,5.8,0.19
Ward,2012,2012-07-05,187,0,27.6,6.12
Ward,2012,2012-07-05,187,0.5,27,4.88
Ward,2012,2012-07-05,187,1,24.6,3.63
Ward,2012,2012-07-05,187,1.5,20.4,1.02
Ward,2012,2012-07-05,187,2,15.8,0.33
Ward,2012,2012-07-05,187,2.5,12.3,0.26
Ward,2012,2012-07-05,187,3,10.2,0.23
Ward,2012,2012-07-05,187,3.5,7.9,0.18
Ward,2012,2012-07-05,187,4,6.9,0.18
Ward,2012,2012-07-05,187,4.5,6.4,0.16
Ward,2012,2012-07-05,187,5,6.1,0.16
Ward,2012,2012-07-05,187,5.5,5.8,0.16
Ward,2012,2012-07-05,187,6,5.7,0.15
Ward,2012,2012-07-12,194,0,25.9,7.05
Ward,2012,2012-07-12,194,0.5,25.1,6.66
Ward,2012,2012-07-12,194,1,24.5,4.85
Ward,2012,2012-07-12,194,1.5,20.8,1.34
Ward,2012,2012-07-12,194,2,16.5,0.52
Ward,2012,2012-07-12,194,2.5,12.6,0.33
Ward,2012,2012-07-12,194,3,10.3,0.28
Ward,2012,2012-07-12,194,3.5,8.2,0.26
Ward,2012,2012-07-12,194,4,7.2,0.24
Ward,2012,2012-07-12,194,4.5,6.6,0.23
Ward,2012,2012-07-12,194,5,6.3,0.22
Ward,2012,2012-07-12,194,5.5,6,0.21
Ward,2012,2012-07-12,194,6,5.9,0.21
Ward,2012,2012-07-19,201,0,23.6,5.92
Ward,2012,2012-07-19,201,0.5,23.3,5.77
Ward,2012,2012-07-19,201,1,23.2,4.74
Ward,2012,2012-07-19,201,1.5,21.5,0.41
