lake,datetime,depth,fracLight
Ward,2012-06-07,0.5,0.215
Ward,2012-06-07,0.75,0.109
Ward,2012-06-07,1,0.052
Ward,2012-06-07,1.5,0.02
Ward,2012-06-07,2,0.009
Ward,2012-06-14,0,1
Ward,2012-06-14,0.25,0.38
Ward,2012-06-14,0.5,0.219
Ward,2012-06-14,0.75,0.098
Ward,2012-06-14,1,0.04
Ward,2012-06-14,1.5,0.014
Ward,2012-06-14,2,0.006
Ward,2012-06-21,0,1
Ward,2012-06-21,0.25,0.306
Ward,2012-06-21,0.5,0.168
Ward,2012-06-21,0.75,0.125
Ward,2012-06-21,1,0.06
Ward,2012-06-21,1.5,0.024
Ward,2012-06-21,2,0.011
Ward,2012-06-21,2.5,0.005
Ward,2012-06-21,3,0.002
Ward,2012-06-21,3.5,0.001
Ward,2012-06-21,4,0
Ward,2012-06-21,4.5,0
Ward,2012-06-28,0,1
Ward,2012-06-28,0.25,0.381
Ward,2012-06-28,0.5,0.186
Ward,2012-06-28,0.75,0.093
Ward,2012-06-28,1,0.041
Ward,2012-06-28,1.5,0.016
Ward,2012-06-28,2,0.007
Ward,2012-06-28,2.5,0.003
Ward,2012-06-28,3,0.001
Ward,2012-06-28,3.5,0
Ward,2012-06-28,4,0
Ward,2012-07-05,0,1
Ward,2012-07-05,0.25,0.415
Ward,2012-07-05,0.5,0.218
Ward,2012-07-05,0.75,0.112
Ward,2012-07-05,1,0.032
Ward,2012-07-05,1.5,0.011
Ward,2012-07-05,2,0.005
Ward,2012-07-05,2.5,0.002
Ward,2012-07-05,3,0.001
Ward,2012-07-05,3.5,0
Ward,2012-07-05,4,-0.001
Ward,2012-07-12,0,1
Ward,2012-07-12,0.25,0.474
Ward,2012-07-12,0.5,0.17
Ward,2012-07-12,0.75,0.087
Ward,2012-07-12,1,0.036
Ward,2012-07-12,1.5,0.014
Ward,2012-07-12,2,0.006
Ward,2012-07-12,2.5,0.002
Ward,2012-07-12,3,0.001
Ward,2012-07-12,3.5,0
Ward,2012-07-12,4,0
Ward,2012-07-12,4.5,0
Ward,2012-07-19,0,1
Ward,2012-07-19,0.25,0.355
Ward,2012-07-19,0.5,0.16
Ward,2012-07-19,0.75,0.084
Ward,2012-07-19,1,0.035
Ward,2012-07-19,1.5,0.014
Ward,2012-07-19,2,0.007
Ward,2012-07-19,2.5,0.003
Ward,2012-07-19,3,0.001
Ward,2012-07-19,3.5,0
Ward,2012-07-19,4,0
Ward,2012-07-26,0,1
Ward,2012-07-26,0.25,0.349
Ward,2012-07-26,0.5,0.224
Ward,2012-07-26,0.75,0.108
Ward,2012-07-26,1,0.046
Ward,2012-07-26,1.5,0.019
Ward,2012-07-26,2,0.01
Ward,2012-07-26,2.5,0.004
Ward,2012-07-26,3,0.002
Ward,2012-07-26,3.5,0.001
Ward,2012-07-26,4,0
Ward,2012-07-26,4.5,0
Ward,2012-07-26,5,0
Ward,2012-07-26,5.5,0
Ward,2012-07-26,6,0
Ward,2012-07-26,6.5,0
Ward,2012-07-26,7,0
Ward,2012-08-02,0,1
Ward,2012-08-02,0.25,0.5
Ward,2012-08-02,0.5,0.223
Ward,2012-08-02,0.75,0.126
Ward,2012-08-02,1,0.057
Ward,2012-08-02,1.5,0.024
Ward,2012-08-02,2,0.013
Ward,2012-08-02,2.5,0.005
Ward,2012-08-02,3,0.001
Ward,2012-08-02,3.5,0
Ward,2012-08-02,4,0
Ward,2012-08-02,4.5,0
Ward,2012-08-02,5,0
Ward,2012-08-02,5.5,0
Ward,2012-08-02,6,0
Ward,2012-08-02,6.5,0
Ward,2012-08-02,7,0
Ward,2012-08-09,0,1
Ward,2012-08-09,0.25,0.531
Ward,2012-08-09,0.5,0.254
Ward,2012-08-09,0.75,0.147
Ward,2012-08-09,1,0.064
Ward,2012-08-09,1.5,0.026
Ward,2012-08-09,2,0.013
Ward,2012-08-09,2.5,0.004
Ward,2012-08-09,3,0.001
Ward,2012-08-09,3.5,0
Ward,2012-08-09,4,0
Ward,2012-08-09,4.5,0
Ward,2012-08-09,5,0
Ward,2012-08-09,5.5,0
Ward,2012-08-09,6,0
Ward,2012-08-09,6.5,0
Ward,2012-08-16,0,1
Ward,2012-08-16,0.25,0.545
Ward,2012-08-16,0.5,0.273
Ward,2012-08-16,0.75,0.15
Ward,2012-08-16,1,0.07
Ward,2012-08-16,1.5,0.031
Ward,2012-08-16,2,0.016
Ward,2012-08-16,2.5,0.006
Ward,2012-08-16,3,0.001
Ward,2012-08-16,3.5,0
Ward,2012-08-16,4,0
Ward,2012-08-16,4.5,0
Ward,2012-08-16,5,0
Ward,2012-08-16,5.5,0
Ward,2012-08-16,6,0
Ward,2012-08-16,6.5,0
Ward,2012-08-16,7,0
Ward,2012-08-23,0,1
Ward,2012-08-23,0.25,0.469
Ward,2012-08-23,0.5,0.247
Ward,2012-08-23,0.75,0.141
Ward,2012-08-23,1,0.067
Ward,2012-08-23,1.5,0.027
Ward,2012-08-23,2,0.014
Ward,2012-08-23,2.5,0.004
Ward,2012-08-23,3,0.001
Ward,2012-08-23,3.5,0.001
Ward,2012-08-23,4,0
Ward,2012-08-23,4.5,0
Ward,2012-08-23,5,0
Ward,2012-08-23,5.5,0
Ward,2012-08-23,6,0
Ward,2012-08-23,6.5,0
Ward,2012-08-23,7,0
Ward,2012-08-28,0,1
Ward,2012-08-28,0.25,0.433
Ward,2012-08-28,0.5,0.251
Ward,2012-08-28,0.75,0.135
Ward,2012-08-28,1,0.063
Ward,2012-08-28,1.5,0.024
Ward,2012-08-28,2,0.012
Ward,2012-08-28,2.5,0.004
Ward,2012-08-28,3,0.001
Ward,2012-08-28,3.5,0
Ward,2012-08-28,4,0
