, iSIC, iSIC, iSIC, iSIC, iSIC, iSIC, iSIC, iSIC, iSIC
  ,Avg ,Avg ,Avg ,Avg ,Avg ,Avg ,Avg ,Avg ,Avg 
Date/Time,Temp00,Temp01,Temp02,Temp03,Temp04,Temp05,Temp06,Temp07,Temp08
" ""m/d/y""",C,C,C,C,C,C,C,C,C
5/25/2012 9:25,20.3,20.86,20.27,21.34,21.23,19.97,20.85,21.16,20.4
5/25/2012 9:30,20.24,21.36,20.65,21.34,20.92,20.09,20.79,21.1,20.46
5/25/2012 9:35,20.11,21.36,20.71,21.16,20.73,20.28,20.67,20.91,20.46
5/25/2012 9:40,20.04,21.11,20.58,20.97,20.54,20.22,20.54,20.73,20.33
5/25/2012 9:45,19.98,20.93,20.46,20.84,20.42,20.15,20.35,20.54,20.21
5/25/2012 9:50,19.92,20.8,20.4,20.78,20.35,20.03,20.23,20.41,20.08
5/25/2012 9:55,19.98,20.93,20.71,20.66,20.17,19.97,20.23,20.6,19.96
5/25/2012 10:00,19.17,19.68,19.52,19.47,18.47,17.26,16.08,15.45,13.62
5/25/2012 10:05,18.79,19.24,19.01,18.91,17.72,15.81,14.45,13.3,11.22
5/25/2012 10:10,18.6,18.86,18.64,18.59,17.28,15.06,13.45,12.1,9.64
5/25/2012 10:15,18.53,18.67,18.51,18.41,17.16,14.81,13,11.47,9
5/25/2012 10:20,18.53,18.6,18.45,18.34,16.97,14.75,12.75,11.22,8.69
5/25/2012 10:25,18.53,18.6,18.39,18.34,16.84,14.75,12.69,11.09,8.63
5/25/2012 10:30,18.53,18.6,18.39,18.34,16.77,14.69,12.56,11.09,8.57
5/25/2012 10:35,18.6,18.67,18.39,18.34,16.71,14.62,12.5,11.09,8.43
5/25/2012 10:40,18.67,18.73,18.45,18.34,16.71,14.62,12.5,11.09,8.43
5/25/2012 10:45,18.67,18.73,18.45,18.34,16.71,14.56,12.5,11.03,8.57
5/25/2012 10:50,18.67,18.73,18.45,18.34,16.71,14.49,12.63,10.91,8.69
5/25/2012 10:55,18.67,18.73,18.45,18.34,16.71,14.49,12.69,10.91,8.69
5/25/2012 11:00,18.73,18.73,18.45,18.34,16.71,14.49,12.69,10.91,8.63
5/25/2012 11:05,18.73,18.73,18.45,18.34,16.77,14.49,12.69,11.03,8.57
5/25/2012 11:10,18.73,18.73,18.45,18.34,16.84,14.43,12.75,11.09,8.49
5/25/2012 11:15,18.73,18.73,18.45,18.34,16.97,14.43,12.81,11.16,8.43
5/25/2012 11:20,18.86,18.73,18.51,18.34,16.91,14.36,12.75,11.16,8.37
5/25/2012 11:25,18.86,18.73,18.51,18.27,16.91,14.36,12.81,11.22,8.31
5/25/2012 11:30,18.92,18.73,18.51,18.34,16.91,14.43,12.81,11.09,8.37
5/25/2012 11:35,18.92,18.73,18.57,18.27,16.97,14.56,12.75,11.03,8.37
5/25/2012 11:40,18.98,18.79,18.57,18.27,16.97,14.56,12.69,11.03,8.49
5/25/2012 11:45,18.98,18.79,18.57,18.27,17.03,14.56,12.56,11.09,8.49
5/25/2012 11:50,19.04,18.79,18.57,18.27,17.09,14.56,12.56,11.16,8.43
5/25/2012 11:55,19.04,18.86,18.64,18.21,17.16,14.43,12.5,11.28,8.43
5/25/2012 12:00,19.04,18.86,18.57,18.21,17.22,14.3,12.56,11.28,8.37
5/25/2012 12:05,19.11,18.93,18.64,18.27,17.22,14.24,12.69,11.22,8.43
5/25/2012 12:10,19.04,18.93,18.64,18.27,17.22,14.36,12.75,11.22,8.49
5/25/2012 12:15,19.04,18.93,18.64,18.27,17.09,14.43,12.81,11.09,8.43
5/25/2012 12:20,18.98,18.93,18.57,18.27,16.84,14.62,12.88,10.97,8.49
5/25/2012 12:25,18.98,18.93,18.57,18.34,16.77,14.69,12.88,11.03,8.49
5/25/2012 12:30,19.04,18.93,18.57,18.34,16.71,14.75,12.75,11.03,8.63
5/25/2012 12:35,19.04,18.93,18.57,18.41,16.77,14.69,12.69,11.03,8.57
