, iSIC, iSIC, iSIC, iSIC, iSIC, iSIC, iSIC, iSIC
  ,Avg ,Avg ,Avg ,Avg ,Avg ,Avg ,Avg ,Avg 
Date/Time,Temp00,Temp01,Temp02,Temp03,Temp04,Temp05,Temp06,Temp07
" ""m/d/y""",C,C,C,C,C,C,C,C
7/11/2012 13:40,25.35,24.35,24.77,23.99,24.04,24.86,24.74,24.66
7/11/2012 13:45,25.48,24.42,25.02,24.3,24.54,25.36,25.05,24.72
7/11/2012 13:50,25.6,24.48,25.08,24.43,24.73,25.49,25.24,24.97
7/11/2012 13:55,25.54,24.6,25.08,24.43,24.73,25.55,25.36,25.09
7/11/2012 14:00,25.73,24.8,25.21,24.55,25.04,25.68,25.67,25.28
7/11/2012 14:05,25.79,24.93,25.27,24.61,25.16,25.74,25.92,25.47
7/11/2012 14:10,25.92,25.11,25.33,24.74,25.29,25.93,26.11,25.66
7/11/2012 14:15,26.04,25.24,25.46,24.8,25.35,26.05,26.24,25.78
7/11/2012 14:20,26.17,25.36,25.46,24.86,25.48,26.11,26.36,25.96
7/11/2012 14:25,26.23,25.55,25.58,24.93,25.48,26.18,26.49,26.08
7/11/2012 14:30,26.48,25.61,25.65,24.99,25.6,26.3,26.55,26.15
7/11/2012 14:35,26.67,25.74,25.71,25.11,25.66,26.36,26.61,26.33
7/11/2012 14:40,26.73,25.8,25.77,25.11,25.66,26.49,26.67,26.4
7/11/2012 14:45,26.85,25.93,25.9,25.18,25.73,26.55,26.8,26.46
7/11/2012 14:50,26.92,25.99,25.96,25.24,25.79,26.61,26.86,26.58
7/11/2012 14:55,27.04,26.05,26.02,25.3,25.85,26.61,26.92,26.65
7/11/2012 15:00,27.1,26.11,26.08,25.36,25.91,26.68,26.99,26.71
7/11/2012 15:05,27.1,26.11,26.15,25.36,25.91,26.74,27.05,26.71
7/11/2012 15:10,27.17,26.18,26.15,25.43,25.98,26.8,27.05,26.77
7/11/2012 15:15,27.17,26.18,26.21,25.36,25.91,26.8,27.11,26.77
7/11/2012 15:20,27.23,26.18,26.15,25.43,25.98,26.74,27.11,26.77
7/11/2012 15:25,27.23,26.18,26.21,25.43,26.04,26.74,27.11,26.83
7/11/2012 15:30,27.23,26.18,26.21,25.49,25.98,26.8,27.11,26.83
7/11/2012 15:35,27.23,26.24,26.21,25.49,26.04,26.8,27.11,26.83
7/11/2012 15:40,27.23,26.24,26.21,25.49,26.04,26.8,27.11,26.83
7/11/2012 15:45,27.23,26.24,26.27,25.55,26.04,26.8,27.11,26.83
7/11/2012 15:50,27.23,26.24,26.27,25.55,26.04,26.74,27.11,26.83
7/11/2012 15:55,27.17,26.24,26.27,25.55,26.04,26.74,27.11,26.83
7/11/2012 16:00,27.17,26.24,26.33,25.49,26.04,26.74,27.05,26.77
7/11/2012 16:05,27.1,26.24,26.33,25.55,26.1,26.68,27.05,26.77
7/11/2012 16:10,27.1,26.24,26.33,25.55,26.1,26.68,26.99,26.77
7/11/2012 16:15,27.1,26.24,26.4,25.49,26.04,26.68,26.99,26.71
7/11/2012 16:20,27.04,26.18,26.4,25.49,26.04,26.61,26.99,26.71
7/11/2012 16:25,27.1,26.3,26.46,25.55,26.1,26.68,27.05,26.77
7/11/2012 16:30,27.1,26.24,26.52,25.55,26.1,26.68,27.05,26.77
7/11/2012 16:35,27.1,26.3,26.58,25.55,26.16,26.74,27.05,26.77
7/11/2012 16:40,27.1,26.3,26.58,25.61,26.23,26.8,27.05,26.83
7/11/2012 16:45,27.1,26.36,26.65,25.61,26.23,26.8,27.11,26.83
7/11/2012 16:50,27.17,26.36,26.71,25.68,26.29,26.8,27.11,26.9
7/11/2012 16:55,27.17,26.43,26.71,25.61,26.23,26.74,27.11,26.9
7/11/2012 17:00,27.23,26.36,26.83,25.68,26.23,26.74,27.11,26.96
7/11/2012 17:05,27.23,26.43,26.77,25.74,26.23,26.68,27.17,26.96
7/11/2012 17:10,27.23,26.43,26.96,25.74,26.23,26.86,27.17,26.96
7/11/2012 17:15,27.23,26.43,27.02,25.8,26.23,26.93,27.17,27.02
7/11/2012 17:20,27.29,26.24,27.02,25.55,26.1,26.99,27.17,27.02
7/11/2012 17:25,27.42,26.05,26.9,25.74,26.16,27.05,27.17,27.02
7/11/2012 17:30,27.54,26.24,26.83,25.86,26.16,27.24,27.11,27.08
7/11/2012 17:35,27.29,26.24,26.52,25.36,25.85,27.05,26.8,26.96
7/11/2012 17:40,26.92,26.05,26.33,25.36,25.66,26.68,26.3,26.52
7/11/2012 17:45,26.92,25.93,26.21,25.3,25.48,26.3,25.99,26.15
7/11/2012 17:50,26.42,25.93,25.83,25.11,23.35,21.49,19.54,17.45
7/11/2012 17:55,26.42,25.93,25.77,24.99,22.34,19.85,17.4,14.37
7/11/2012 18:00,26.29,25.86,25.77,24.86,21.78,18.98,16.21,12.61
7/11/2012 18:05,26.29,25.86,25.71,24.86,21.53,18.6,15.76,11.85
7/11/2012 18:10,26.35,25.86,25.71,24.8,21.4,18.48,15.63,11.47
7/11/2012 18:15,26.35,25.86,25.71,24.8,21.34,18.28,15.57,11.35
7/11/2012 18:20,26.35,25.86,25.71,24.8,21.28,18.35,15.51,11.22
7/11/2012 18:25,26.35,25.86,25.71,24.8,21.22,18.42,15.45,11.22
7/11/2012 18:30,26.35,25.86,25.71,24.8,21.28,18.35,15.38,11.22
