"datetime" "do.obs" "do.sat" "k.gas" "z.mix" "irr" "wtr"
2010-05-18 00:00:00 2.56 11.2506423480968 0 4.1 1.2 7.93
2010-05-18 00:05:00 2.70957305875119 11.2207789415825 0 4.1 1.2 8.03
2010-05-18 00:10:00 2.95915006388638 11.1645365816229 0 4.1 1.2 8.22
2010-05-18 00:15:00 3.15829929996027 11.1704262682032 0 4.1 1.2 8.2
2010-05-18 00:20:00 3.20787360723708 11.1733737990395 0 4.1 1.2 8.19
2010-05-18 00:25:00 3.21744832868449 11.1733737990395 0 4.1 1.2 8.19
2010-05-18 00:30:00 3.2070273942995 11.1557154725216 0 4.1 1.2 8.25
2010-05-18 00:35:00 3.54619659368199 11.0973174925646 0 4.1 1.2 8.45
2010-05-18 00:40:00 3.58577910888246 11.0828285990712 0 4.1 1.2 8.5
2010-05-18 00:45:00 3.96537047719769 11.0482343607129 0 4.1 1.2 8.62
2010-05-18 00:50:00 4.80496300356573 11.0167438047826 0 4.1 1.2 8.73
2010-05-18 00:55:00 3.94406777959624 11.1293484906401 0 4.1 1.2 8.34
2010-05-18 01:00:00 3.06360993119209 11.1940567882414 0 4.1 1.2 8.12
2010-05-18 01:05:00 2.8231605892403 11.2356879297831 0 4.1 1.2 7.98
2010-05-18 01:10:00 2.68272423440215 11.2506423480968 0 4.1 1.2 7.93
2010-05-18 01:15:00 3.58194717382139 11.1322710350886 0 4.1 1.2 8.33
2010-05-18 01:20:00 4.06154183645186 11.1060319884085 0 4.1 1.2 8.42
2010-05-18 01:25:00 4.06112753576005 11.0944161901991 0 4.1 1.2 8.46
2010-05-18 01:30:00 4.10068472683943 11.1205915106944 0 4.1 1.2 8.37
2010-05-18 01:35:00 3.80979579976164 11.1704262682032 0 4.1 1.2 8.2
2010-05-18 01:40:00 3.4193732122163 11.1674805294416 0 4.1 1.2 8.21
2010-05-18 01:45:00 3.23895351919644 11.1615944236165 0 4.1 1.2 8.23
2010-05-18 01:50:00 3.22853144544627 11.1586540542924 0 4.1 1.2 8.24
2010-05-18 01:55:00 3.32766692197504 11.1733737990395 0 4.1 1.2 8.19
2010-05-18 02:00:00 3.35723542689402 11.1792742414679 0 4.1 1.2 8.17
2010-05-18 02:05:00 3.26682278314821 11.1674805294416 0 4.1 1.2 8.21
2010-05-18 02:10:00 3.32639771163686 11.1674805294416 0 4.1 1.2 8.21
2010-05-18 02:15:00 3.28553348381322 11.1792742414679 0 4.1 1.2 8.17
2010-05-18 02:20:00 3.07507892570548 11.2029479211398 0 4.1 1.2 8.09
2010-05-18 02:25:00 2.83463011504294 11.2207789415825 0 4.1 1.2 8.03
2010-05-18 02:30:00 2.81419159203479 11.2297188909519 0 4.1 1.2 8
2010-05-18 02:35:00 2.80333708349613 11.2297188909519 0 4.1 1.2 8
2010-05-18 02:40:00 2.77293485485089 11.211855295295 0 4.1 1.2 8.06
2010-05-18 02:45:00 2.80259325817706 11.152778677176 0 4.1 1.2 8.26
2010-05-18 02:50:00 2.85215568485578 11.1615944236165 0 4.1 1.2 8.23
2010-05-18 02:55:00 3.75137397481881 11.1176760647849 0 4.1 1.2 8.38
2010-05-18 03:00:00 3.63092751694541 11.1322710350886 0 4.1 1.2 8.33
2010-05-18 03:05:00 3.3504371865811 11.1733737990395 0 4.1 1.2 8.19
2010-05-18 03:10:00 3.1099631288045 11.2029479211398 0 4.1 1.2 8.09
2010-05-18 03:15:00 2.96914103494486 11.1851818657985 0 4.1 1.2 8.15
2010-05-18 03:20:00 3.23877742780388 11.1498436671283 0 4.1 1.2 8.27
2010-05-18 03:25:00 3.49838451920479 11.1322710350886 0 4.1 1.2 8.33
2010-05-18 03:30:00 3.61797138847898 11.1264277225042 0 4.1 1.2 8.35
2010-05-18 03:35:00 3.69715187755511 11.1118504873742 0 4.1 1.2 8.4
2010-05-18 03:40:00 3.72671746852352 11.1176760647849 0 4.1 1.2 8.38
2010-05-18 03:45:00 3.66630565079789 11.1118504873742 0 4.1 1.2 8.4
2010-05-18 03:50:00 3.64584738835613 11.1293484906401 0 4.1 1.2 8.34
2010-05-18 03:55:00 3.48494518052432 11.1557154725216 0 4.1 1.2 8.25
2010-05-18 04:00:00 3.38448949940411 11.1704262682032 0 4.1 1.2 8.2
2010-05-18 04:05:00 3.28404536801784 11.1804921712547 0 4.1 1.2 8.17
2010-05-18 04:10:00 3.1336005904786 11.1905761650014 0 4.1 1.2 8.14
2010-05-18 04:15:00 3.00276227550654 11.1858819098067 0 4.1 1.2 8.16
2010-05-18 04:20:00 3.01237035176237 11.1723471091089 0 4.1 1.2 8.21
2010-05-18 04:25:00 3.13193844934452 11.1765110974099 0 4.1 1.2 8.2
2010-05-18 04:30:00 3.20151327433458 11.1777280632512 0 4.1 1.2 8.2
2010-05-18 04:35:00 2.96062717165706 11.1937118795627 0 4.1 1.2 8.15
2010-05-18 04:40:00 2.90015785141095 11.2127119925297 0 4.1 1.2 8.09
2010-05-18 04:45:00 2.90977578532827 11.1961490263524 0 4.1 1.2 8.15
2010-05-18 04:50:00 3.06938739928493 11.1825959266166 0 4.1 1.2 8.2
2010-05-18 04:55:00 3.77871238248387 11.1164313615296 0 4.1 1.2 8.43
2010-05-18 05:00:00 3.64820480536654 11.1497528881443 0 4.1 1.2 8.32
2010-05-18 05:05:00 3.50767883000356 11.1879812425725 0 4.1 1.2 8.19
2010-05-18 05:10:00 3.31714959558797 11.2265130473823 0 4.1 1.2 8.06
2010-05-18 05:15:00 2.96639481099274 11.1909344223974 0 4.1 3.7 8.18
2010-05-18 05:20:00 3.09596942885341 11.1909344223974 0 4.1 8.7 8.18
2010-05-18 05:25:00 3.08554404671408 11.1909344223974 0 4.1 13.7 8.18
2010-05-18 05:30:00 3.05511016684366 11.193889398909 0 4.1 18.7 8.17
2010-05-18 05:35:00 3.04425919530326 11.193889398909 0 4.1 26.2 8.17
2010-05-18 05:40:00 3.04386012415582 11.1850298582993 0 4.1 33.7 8.2
2010-05-18 05:45:00 3.06343494914589 11.1850298582993 0 4.1 41.2 8.2
