"datetime" "do.obs" "do.sat" "wtr" "z.mix" "baro" "z1perc" "irr" "wnd" "top" "k600.cole" "k.gas"
2010-05-17 21:05:00 10.1256160699329 9.2497500378507 16.73 0.75 964.999991873434 4.4 1.2 0.471028542752177 NA 0.511149275820669 0.500047667146633
2010-05-17 21:10:00 10.105483176828 9.23396225141183 16.82 0.75 964.999991873434 4.4 1.2 0.471028542752177 NA 0.511149275820669 0.501215033516601
2010-05-17 21:15:00 10.095214902734 9.2095783214846 16.96 0.75 964.999991873434 4.4 1.2 0.24187952195382 NA 0.501421342690693 0.493460080154042
2010-05-17 21:20:00 10.7750956824276 9.17339841671693 17.17 0.75 964.999991873434 4.4 1.2 0.24187952195382 NA 0.501421342690693 0.496141751483483
2010-05-17 21:25:00 10.5849439875517 9.19229078482648 17.06 0.75 964.999991873434 4.4 1.2 0.24187952195382 NA 0.501421342690693 0.4947362050029
2010-05-17 21:30:00 10.0947741416346 9.23921504297591 16.79 0.75 964.999991873434 4.4 1.2 0.24187952195382 NA 0.501421342690693 0.491294302768436
2010-05-17 21:35:00 10.0145089185483 9.2130487566839 16.94 0.75 964.999991873434 4.4 1.2 0.24187952195382 NA 0.501421342690693 0.493205044409168
2010-05-17 21:40:00 10.0943786926448 9.19746575207676 17.03 0.75 964.999991873434 4.4 1.2 0.471028542752177 NA 0.511149275820669 0.503944008557294
2010-05-17 21:45:00 10.0542055435198 9.24447763318589 16.76 0.75 964.999991873434 4.4 1.2 0.471028542752177 NA 0.511149275820669 0.500436641818476
2010-05-17 21:50:00 10.1040102954488 9.3209943852491 16.33 0.75 964.999991873434 4.4 1.2 0.471028542752177 NA 0.511149275820669 0.494875633152949
2010-05-17 21:55:00 10.1337671959566 9.26385788601487 16.65 0.75 964.999991873434 4.4 1.2 0.24187952195382 NA 0.501421342690693 0.489514199809578
2010-05-17 22:00:00 10.1036308899704 9.25679520505802 16.69 0.75 964.999991873434 4.4 1.2 0.24187952195382 NA 0.501421342690693 0.490022477515108
