"datetime" "wtr" "SpCond" "pH" "DOsat" "do.obs" "Chl_conc" "z.mix" "irr" "wnd" "do.sat" "k600.cole" "k.gas"
2012-05-03 04:10:00 15.14 0.014 6.64 97.1 9.76 1.1 2.65323165471336 0.136833333333333 0.866512533333333 9.49420545489683 0.537245196016313 0.504141775979175
2012-05-03 04:15:00 15.17 0.014 6.64 96.3 9.68 1.4 2.65323165471336 0.20524999999986 0.779861280000177 9.48841943089204 0.530612650118506 0.498312967801122
2012-05-03 04:20:00 15.23 0.014 6.64 96.1 9.64 2.8 2.65323165471336 0.273666666666667 0.693210026666667 9.47687931607297 0.524477057909803 0.49333236976328
2012-05-03 04:25:00 15.24 0.014 6.63 96.7 9.7 2 2.65323165471336 0.342083333333193 0.606558773333511 9.47496009543163 0.518856348366947 0.488174353009449
2012-05-03 04:30:00 15.29 0.014 6.64 96.6 9.68 0.6 2.65323165471336 0.4105 0.51990752 9.46538166078347 0.513771650129331 0.484028906531797
2012-05-03 04:35:00 15.22 0.014 6.64 96.8 9.71 1.6 2.65323165471336 0.478916666666807 0.433256266666489 9.47879971614424 0.509248469280522 0.478881574950552
2012-05-03 04:40:00 15.32 0.014 6.64 96 9.62 0.9 2.65323165471336 0.547333333333333 0.346605013333333 9.45964871134181 0.505318613805869 0.476442286498509
2012-05-03 04:45:00 15.21 0.014 6.64 96.6 9.7 1.6 2.65323165471336 0.61574999999986 0.259953760000177 9.48072129630046 0.502023638060499 0.471962863744504
2012-05-03 04:50:00 15.1 0.014 6.65 96.6 9.72 1.5 2.65323165471336 0.684166666666667 0.173302506666667 9.50193675145425 0.499421910949135 0.46815352181126
2012-05-03 04:55:00 15.32 0.014 6.65 96.3 9.64 2 2.65323165471336 0.752583333333473 0.0866512533331559 9.45964871134181 0.497606987754326 0.469171339717137
2012-05-03 05:00:00 15.14 0.014 6.64 96.5 9.71 1.2 2.65323165471336 0.821 0 9.49420545489683 0.4968 0.466188690310503
2012-05-03 05:05:00 15.29 0.014 6.64 96.8 9.7 1.7 2.65323165471336 0.793583333333287 0.0344220800000587 9.46538166078347 0.496967985883553 0.468198022853096
2012-05-03 05:10:00 15.33 0.014 6.64 96.6 9.67 1 2.65323165471336 0.766166666666685 0.0688441599999765 9.45774007617663 0.497345787745877 0.46904880631965
2012-05-03 05:15:00 15.21 0.014 6.63 96.8 9.71 1.5 2.65323165471336 0.738749999999972 0.103266240000035 9.48072129630046 0.497887373941231 0.468074275815707
2012-05-03 05:20:00 15.35 0.014 6.63 96.3 9.64 1.5 2.65323165471336 0.711333333333259 0.137688320000094 9.45392632391831 0.498573269617965 0.470454595335463
2012-05-03 05:25:00 15.31 0.014 6.63 96.6 9.68 3.1 2.65323165471336 0.683916666666657 0.172110400000012 9.46155852006424 0.499391324465268 0.470729479724399
2012-05-03 05:30:00 15.24 0.014 6.63 96 9.63 3.7 2.65323165471336 0.656500000000056 0.20653247999993 9.47496009543163 0.500332888357997 0.470746257287335
2012-05-03 05:35:00 15.27 0.014 6.63 96.4 9.67 0.9 2.65323165471336 0.629083333333343 0.240954559999988 9.46920950354457 0.501391340015361 0.472115975264199
2012-05-03 05:40:00 15.16 0.014 6.63 96.3 9.68 1.8 2.65323165471336 0.601666666666629 0.275376640000047 9.49034692131538 0.502561369986307 0.471844493711127
2012-05-03 05:45:00 15.22 0.014 6.64 96.7 9.71 2.5 2.65323165471336 0.574250000000028 0.309798719999965 9.47879971614424 0.503838580046512 0.473794281746999
2012-05-03 05:50:00 15.27 0.014 6.64 97.2 9.74 0.7 2.65323165471336 0.546833333333315 0.344220800000023 9.46920950354457 0.505219238026601 0.475720368995317
2012-05-03 05:55:00 15.33 0.014 6.64 96.2 9.63 1.9 2.65323165471336 0.519416666666713 0.378642879999941 9.45774007617663 0.506700117583321 0.477870912291552
2012-05-03 06:00:00 15.29 0.014 6.63 95.8 9.6 1.7 2.65323165471336 0.492 0.41306496 9.46538166078347 0.508278388139374 0.478853654854087
2012-05-03 06:05:00 15.29 0.014 6.63 96.3 9.65 0.3 2.65323165471336 8.86766666668095 0.419733306666678 9.46538166078347 0.508595179033474 0.479152106413319
2012-05-03 06:10:00 15.3 0.014 6.63 96.3 9.65 2.1 2.65323165471336 17.2433333333276 0.426401653333329 9.46346950299445 0.50891551271043 0.479580459017276
2012-05-03 06:15:00 15.3 0.014 6.62 96.3 9.65 1.3 2.65323165471336 25.6189999999743 0.433069999999979 9.46346950299445 0.509239372456251 0.479885650746903
2012-05-03 06:20:00 15.29 0.014 6.63 96.1 9.63 3.6 2.65323165471336 33.9946666666552 0.439738346666657 9.46538166078347 0.509566741893368 0.480067424548493
2012-05-03 06:25:00 15.24 0.014 6.62 96.2 9.65 1.6 2.65323165471336 42.3703333333362 0.446406693333335 9.47496009543163 0.509897604968832 0.479745374977442
2012-05-03 06:30:00 15.21 0.014 6.62 95.9 9.63 1.1 2.65323165471336 50.7459999999829 0.453075039999986 9.48072129630046 0.510231945943106 0.479679664709771
