"datetime" "do.obs" "do.sat" "k.gas" "z.mix" "irr" "wtr" "wnd"
2010-06-03 05:25:00 8.89108483746863 8.44067922595058 0.552421885084591 1.5 18.7 21.47 0.24187952195382
2010-06-03 05:30:00 8.92094876152114 8.44325436914873 0.552154457566373 1.5 23.7 21.45 0.24187952195382
2010-06-03 05:35:00 8.89071100231507 8.44583291156642 0.598113739637775 1.5 33.7 21.43 0.942057085504353
2010-06-03 05:40:00 8.90059205442786 8.44712345850451 0.597968875936495 1.5 41.2 21.42 0.942057085504353
2010-06-03 05:45:00 8.91045566139612 8.44970710588569 0.578328911716138 1.5 48.7 21.4 0.712908064705997
2010-06-03 05:50:00 8.85033659652943 8.45100020714827 0.562049124866602 1.5 56.2 21.39 0.471028542752177
2010-06-03 05:55:00 8.82011580709165 8.45229416067236 0.578048661152147 1.5 61.2 21.38 0.712908064705997
2010-06-03 06:00:00 8.83997912811416 8.45488462614744 0.561640543817916 1.5 68.7 21.36 0.471028542752177
2010-06-03 06:05:00 8.89985988062382 8.45618113892038 0.550818111129972 1.5 96.2 21.35 0.24187952195382
2010-06-03 06:10:00 8.87974058741741 8.45747850559873 0.55068454885083 1.5 116.2 21.34 0.24187952195382
2010-06-03 06:15:00 8.86950186375994 8.46007580231887 0.561095956646497 1.5 183.7 21.32 0.471028542752177
2010-06-03 06:20:00 8.91940006608138 8.46007580231887 0.561095956646497 1.5 296.2 21.32 0.471028542752177
2010-06-03 06:25:00 8.99924529193603 8.463978161993 0.550016934311267 1.5 286.2 21.29 0.24187952195382
2010-06-03 06:30:00 8.9891787982792 8.46137573318507 0.577068218447575 1.5 333.7 21.31 0.712908064705997
2010-06-03 06:35:00 9.00893972052841 8.463978161993 0.576788215824006 1.5 368.7 21.29 0.712908064705997
2010-06-03 06:40:00 8.97885560770947 8.46267651960546 0.596231623932634 1.5 396.2 21.3 0.942057085504353
2010-06-03 06:45:00 9.02875377039965 8.46267651960546 0.576928210262838 1.5 398.7 21.3 0.712908064705997
2010-06-03 06:50:00 9.01863414912078 8.463978161993 0.560687656719338 1.5 443.7 21.29 0.471028542752177
2010-06-03 06:55:00 9.02841260497736 8.46528066076098 0.576648235125025 1.5 406.2 21.28 0.712908064705997
2010-06-03 07:00:00 9.05831072800848 8.46528066076098 0.560551583464121 1.5 476.2 21.28 0.471028542752177
2010-06-03 07:05:00 9.23817309315749 8.46788822909278 0.549616522860307 1.5 376.2 21.26 0.24187952195382
2010-06-03 07:10:00 9.24805326829668 8.4691932994847 0.560143443778687 1.5 208.7 21.25 0.471028542752177
2010-06-03 07:15:00 9.25784939527739 8.4691932994847 0.560143443778687 1.5 373.7 21.25 0.471028542752177
2010-06-03 07:20:00 9.04772948469528 8.4704992279132 0.576088449609366 1.5 588.7 21.24 0.712908064705997
2010-06-03 07:25:00 9.02762752832477 8.4704992279132 0.576088449609366 1.5 633.7 21.24 0.712908064705997
2010-06-03 07:30:00 9.27752557195427 8.4704992279132 0.544286574098332 1.5 661.2 21.24 0
2010-06-03 07:35:00 9.39732165921327 8.4704992279132 0.549349647328711 1.5 683.7 21.24 0.24187952195382
2010-06-03 07:40:00 9.57723777621949 8.4691932994847 0.544418775557226 1.5 711.2 21.25 0
2010-06-03 07:45:00 9.34713583970984 8.4691932994847 0.544418775557226 1.5 743.7 21.25 0
2010-06-03 07:50:00 9.2870339032002 8.4691932994847 0.544418775557226 1.5 771.2 21.25 0
2010-06-03 07:55:00 8.94681187736076 8.4704992279132 0.544286574098332 1.5 803.7 21.24 0
2010-06-03 08:00:00 8.80667355648827 8.47311366053946 0.575808639139218 1.5 831.2 21.22 0.712908064705997
2010-06-03 08:05:00 8.81658976569208 8.47180601479308 0.54921622917724 1.5 858.7 21.23 0.24187952195382
2010-06-03 08:10:00 8.77648778945375 8.47180601479308 0.59521917236761 1.5 891.2 21.23 0.942057085504353
2010-06-03 08:15:00 8.76626557203576 8.47311366053946 0.619313217510898 1.5 918.7 21.22 1.18393660745817
2010-06-03 08:20:00 8.78618186073877 8.47180601479308 0.64589085525986 1.5 948.7 21.23 1.41308562825653
2010-06-03 08:25:00 8.75606157980951 8.47311366053946 0.677075554291701 1.5 976.2 21.22 1.65496515021035
2010-06-03 08:30:00 8.75597790826211 8.47180601479308 0.59521917236761 1.5 1003.7 21.23 0.942057085504353
2010-06-03 08:35:00 8.77575559147013 8.47311366053946 0.595074593131801 1.5 1033.7 21.22 0.942057085504353
2010-06-03 08:40:00 8.74569035728523 8.4704992279132 0.59536376576722 1.5 1058.7 21.24 0.942057085504353
2010-06-03 08:45:00 8.76558840091473 8.4704992279132 0.59536376576722 1.5 1086.2 21.24 0.942057085504353
2010-06-03 08:50:00 8.77548644454422 8.4704992279132 0.576088449609366 1.5 1116.2 21.24 0.712908064705997
2010-06-03 08:55:00 8.79530098253616 8.4691932994847 0.61976466648434 1.5 1143.7 21.25 1.18393660745817
