"datetime" "do.obs" "do.sat" "kgas.cole" "kgas.read" "z.mix" "irr" "wtr" "wnd"
2010-05-22 15:25:00 9.0316682286619 8.72989190569455 0.710296405043359 1.00888737609392 0.786999819958418 693.7 19.14 2.12599369296253
2010-05-22 15:30:00 9.08903787749114 8.72489791528269 0.711008411139064 1.00860745727836 0.7914744194089 743.7 19.18 2.12599369296253
2010-05-22 15:35:00 9.09647826588043 8.71695339882436 0.712076966323738 1.01110209040163 1.10405758666475 801.2 19.24 2.12599369296253
2010-05-22 15:40:00 9.07988666711349 8.71199430166281 0.712789699589824 1.01081198098263 1.10405758666475 843.7 19.28 2.12599369296253
2010-05-22 15:45:00 8.99519100083107 8.70410281509496 0.837327517228407 1.32448684677601 0.785651268035304 818.7 19.34 2.83890175766852
2010-05-22 15:50:00 8.99712156662518 8.69917844651523 0.883057752647984 1.42571865757752 0.791485072387243 778.7 19.38 3.06805077846688
2010-05-22 15:55:00 9.00808015736911 8.70160432682249 0.793257479232106 1.21004821457646 0.853726293316515 711.2 19.37 2.5970222357147
2010-05-22 16:00:00 9.01723286267897 8.7025611868902 1.21441594053799 2.04662602336818 0.85031238459754 703.7 19.37 4.49386690787887
2010-05-22 16:05:00 9.04298477425635 8.70109184353751 0 0 0.5 656.2 19.38 3.53907932121906
2010-05-22 16:10:00 9.07044168999199 8.70844795225005 0 0 0.5 621.2 19.33 3.78095884317288
2010-05-22 16:15:00 9.08325024253931 8.7113969767669 0 0 0.5 571.2 19.31 4.01010786397123
2010-05-22 16:20:00 9.08675411898205 8.72174824739789 0 0 0.5 518.7 19.24 4.72301592867723
2010-05-22 16:25:00 9.05341597360333 8.72471425047172 0 0 0.5 473.7 19.22 4.25198738592505
2010-05-22 16:30:00 9.07354947573747 8.73363497648067 0 0 0.5 491.2 19.16 3.53907932121906
2010-05-22 16:35:00 9.08457048793818 8.73512508207251 0 0 0.5 588.7 19.15 3.53907932121906
2010-05-22 16:40:00 9.10859023957588 8.73214581967107 0 0 0.5 633.7 19.17 2.83890175766852
2010-05-22 16:45:00 9.11220492946937 8.73512508207251 0 0 0.5 651.2 19.15 3.06805077846688
2010-05-22 16:50:00 9.11215033632718 8.73512508207251 0 0 0.5 636.2 19.15 3.3099303004207
2010-05-22 16:55:00 9.10842579395455 8.73214581967107 0 0 0.5 626.2 19.17 2.36787321491635
2010-05-22 17:00:00 9.11204078197006 8.73512508207251 0 0 0.5 646.2 19.15 3.53907932121906
2010-05-22 17:05:00 8.97528046544657 8.7291703504678 0 0 0.5 901.2 19.19 2.83890175766852
2010-05-22 17:10:00 9.08803525033017 8.72323077622965 0 0 0.5 758.7 19.23 1.88411417100871
2010-05-22 17:15:00 9.10095463145164 8.71878602404459 0 0 0.5 456.2 19.26 3.06805077846688
2010-05-22 17:20:00 9.01257960632999 8.70697485116576 0 0 0.5 426.2 19.34 2.83890175766852
2010-05-22 17:25:00 9.12480462530223 8.72323077622965 0 0 0.5 426.2 19.23 2.36787321491635
2010-05-22 17:30:00 9.12474975437241 8.72323077622965 0 0 0.5 453.7 19.23 1.88411417100871
2010-05-22 17:35:00 9.14687423510581 8.71878602404459 0 0 0.5 543.7 19.26 2.12599369296253
2010-05-22 17:40:00 9.13946805913101 8.71287290115392 0 0 0.5 553.7 19.3 2.36787321491635
2010-05-22 17:45:00 9.04915791532012 8.70697485116576 0 0 0.5 566.2 19.34 2.36787321491635
2010-05-22 17:50:00 9.00303923117511 8.70697485116576 0.677763938060152 0.938491209496994 0.839540023377768 598.7 19.34 1.88411417100871
