"datetime" "do.obs" "do.sat" "k.gas" "z.mix" "irr" "wtr" "wnd"
2012-05-24 17:35:00 9.01 8.78340276504638 0.628571506913496 2 6.04066666666874 19.32 1.51639693333395
2012-05-24 17:40:00 8.9 8.70304262955565 0.602212206787642 2 5.02933333333333 19.87 1.21311754666667
2012-05-24 17:45:00 8.93 8.71311358060177 0.571854618946857 2 4.01800000000621 19.8 0.909838160001862
2012-05-24 17:50:00 8.9 8.69016070560703 0.550888723473781 2 3.0066666666708 19.96 0.606558773334574
2012-05-24 17:55:00 8.92 8.6944463930339 0.534281478136413 2 1.9953333333354 19.93 0.303279386667287
2012-05-24 18:00:00 8.95 8.7377608967911 0.52316938257584 2 0.984 19.63 0
2012-05-24 18:05:00 8.99 8.74067828808012 0.522909149702161 2 0.929333333333221 19.61 0
2012-05-24 18:10:00 8.96 8.74213838634015 0.522779052745299 2 0.874666666666443 19.6 0
2012-05-24 18:15:00 9.03 8.76562753583358 0.520699272096841 2 0.820000000000112 19.44 0
2012-05-24 18:20:00 9.03 8.76415240951764 0.520829160523818 2 0.765333333333333 19.45 0
2012-05-24 18:25:00 8.96 8.71599932537227 0.525122781277898 2 0.710666666666555 19.78 0
2012-05-24 18:30:00 8.97 8.72903113092084 0.523950392524839 2 0.656000000000224 19.69 0
2012-05-24 18:35:00 8.82 8.67026998800613 0.52929972573625 2 0.601333333333445 20.1 0
2012-05-24 18:40:00 8.86 8.67877260662839 0.528515546938916 2 0.546666666666667 20.04 0
2012-05-24 18:45:00 8.97 8.7348472426734 0.523429667363224 2 0.491999999999888 19.65 0
2012-05-24 18:50:00 8.97 8.7377608967911 0.52316938257584 2 0.43733333333311 19.63 0
2012-05-24 18:55:00 8.99 8.74652429723692 0.522388839855051 2 0.382666666666331 19.57 0
2012-05-24 19:00:00 9 8.74652429723692 0.522388839855051 2 0.328 19.57 0
2012-05-24 19:05:00 8.93 8.75238530032966 0.522426855750627 2 0.321166666666657 19.53 0.0677638133334258
2012-05-24 19:10:00 9.02 8.75385289745131 0.523551623038717 2 0.314333333333315 19.52 0.135527626666852
2012-05-24 19:15:00 8.99 8.72903113092084 0.527577502645875 2 0.307500000000028 19.69 0.203291439999723
2012-05-24 19:20:00 9.01 8.72322992281619 0.530392230961669 2 0.300666666666685 19.73 0.271055253333148
2012-05-24 19:25:00 8.99 8.72322992281619 0.533123697099734 2 0.293833333333343 19.73 0.338819066666574
2012-05-24 19:30:00 9.01 8.72178194597718 0.536400752390013 2 0.287 19.74 0.40658288
2012-05-24 19:35:00 8.97 8.71599932537227 0.540472201138639 2 0.280166666666657 19.78 0.474346693333426
2012-05-24 19:40:00 8.99 8.71599932537227 0.544383756635203 2 0.273333333333315 19.78 0.542110506666852
2012-05-24 19:45:00 8.99 8.71167209797225 0.549062179349541 2 0.266500000000028 19.81 0.609874319999723
2012-05-24 19:50:00 9.06 8.7479881411475 0.550251843648018 2 0.259666666666685 19.56 0.677638133333148
2012-05-24 19:55:00 9.01 8.75091864222079 0.554899165472266 2 0.252833333333343 19.54 0.745401946666574
2012-05-24 20:00:00 8.94 8.70304262955565 0.564755642323754 2 0.246000000000056 19.87 0.813165759999445
2012-05-24 20:05:00 8.75 8.60616750561313 0.571584540279573 2 0.252833333333291 20.56 0.777626080000218
2012-05-24 20:10:00 8.99 8.72612866578443 0.557001232411964 2 0.259666666666639 19.71 0.742086400000146
2012-05-24 20:15:00 8.98 8.7304837604714 0.553963426393464 2 0.266499999999986 19.68 0.706546720000073
2012-05-24 20:20:00 8.98 8.72903113092084 0.551568525407638 2 0.273333333333333 19.69 0.67100704
2012-05-24 20:25:00 8.97 8.75238530032966 0.546946450618196 2 0.280166666666681 19.53 0.635467359999927
